"","ReleaseDate","Title","ProductionBudget","OpeningWeekend","DomesticBox Office","WorldwideBox Office","Trailer","MPAA_Rating","Production_Method","Genre","Running_Time","Keywords","Franchise","Production_Companies","Production_Countries","Source","Creative_Type","warner","Columbia","Universal_Pictures","Walt_Disney_Pictures","Marvel_Studios","Paramount_Pictures","Century_Fox","Relativity_Media","DreamWorks_Pictures","New_Line_Cinema","Dune_Entertainment","Canal_Plus","Regency_Enterprises","Lionsgate","BBC_Films","StudioCanal","Working_Title_Films","Blumhouse","BFI","France","Cine_Plus","Participant_Media","Village_Roadshow_Productions","Metro_Goldwyn_Mayer_Pictures","Year","month"
"24","May 12, 2017","King Arthur: Legend of the …",1.75e+08,15371270,39175066,139950708,1,"PG-13","Live Action","Adventure",126,"Royalty, Prophecy, Orphan, Sword & Sorcerer, Footage Shown in Reverse, Young Child Dealing with the Death of a Parent, Revenge, Middle Ages",0,"Weed Road Pictures, Warner Bros., Village Roadshow Productions, RatPac Entertainment, Dune Entertainment, Safehouse Pictures","Australia,United States","Based on Folk Tale/Legend/Fairytale","Fantasy",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,"May"
"25","Apr 21, 2017","Unforgettable",1.2e+07,4785431,11368012,16221211,1,"R","Live Action","Thriller/Suspense",114,"Romance, Relationships Gone Wrong, Obsessive Love, The Other Woman, Social Media",0,"Warner Bros., RatPac Entertainment, Dune Entertainment, Di Novi Pictures","United States","Original Screenplay","Contemporary Fiction",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Apr"
"26","Mar 24, 2017","CHiPS",2.5e+07,7722802,18600152,23190697,1,"R","Live Action","Action",100,"California, Hollywood, Corrupt Cops, Undercover, FBI, Buddy Cop, Adapted as a Comedy, Directing Yourself, Screenplay Written By the Star, Family Affair",0,"Warner Bros., Panay Films, RatPac Entertainment, Dune Entertainment","United States","Based on TV","Contemporary Fiction",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Mar"
"27","Mar 15, 2017","Frantz",NA,18745,880883,7356327,0,"PG-13","Live Action","Drama",113,"World War I, Germany, Death of a Spouse or Fiancée / Fiancé, Retro Black and White, Suicide, Suicide Attempt, Voiceover/Narration, 1910s, Bigotry, Depression, Non-Chronological",0,"Mandarin Cinema, X Filme Creative Pool, Foz, Universal Pictures, Canal Plus, Cine Plus, France Television, Warner Bros.","France,Germany","Based on Movie","Historical Fiction",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2017,"Mar"
"28","Mar 10, 2017","Kong: Skull Island",1.85e+08,61025472,168052812,561089941,1,"PG-13","Live Action","Adventure",118,"Creature Features, Character POV shot, 1970s, Prequel, Reboot, Franchise Crossover, Visual Effects, Scene in End Credits",1,"Legendary Pictures, Warner Bros., Tencent Pictures ","United States","Original Screenplay","Science Fiction",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Mar"
"29","Feb 24, 2017","The Girl with all the Gifts",5250000,NA,NA,4801837,0,"R","Live Action","Horror",111,"Novel or Other Work Adapted by Author, Young Adult Book Adaptation, Post Apocalypse, Zombies, Human Experimentation, Medical and Hospitals, Coming of Age",0,"BFI, Creative England, Altitude Film Entertainment, Warner Bros., Poison Chef","United Kingdom","Original Screenplay","Contemporary Fiction",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,"Feb"
"30","Feb 10, 2017","The Lego Batman Movie",8e+07,53003468,175750384,310692896,1,"PG","Digital Animation","Adventure",106,"D.C. Comics, Vigilante, Adopted Family, Living Toys, Gratuitous Cameos",1,"Warner Bros., Lego Systems A/S , Lin Pictures, Lord Miller, Vertigo Entertainment, Warner Animation Group","United States","Based on Toy","Kids Fiction",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Feb"
"31","Dec 25, 2016","Live by Night",6.5e+07,33336,10378555,21778555,1,"R","Live Action","Drama",129,"Dysfunctional Family, Directing Yourself, Organized Crime, 1920s, 1930s, Prohibition Era, Voiceover/Narration, Miami, Immigration, Religious",0,"Warner Bros., Appian Way, Pearl Street, RatPac Entertainment, Dune Entertainment","United States","Based on Fiction Book/Short Story","Historical Fiction",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Dec"
"32","Nov 18, 2016","Fantastic Beasts and Where …",1.8e+08,74403387,234037575,802437668,1,"PG-13","Live Action","Adventure",133,"1920s, Prequel, New York City, Secret Magic, Supernatural, Monster, Cryptozoology, Secret Societies",1,"Warner Bros., Heyday Films","United States","Spin-Off","Fantasy",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Nov"
"33","Oct 14, 2016","The Accountant",4e+07,24710273,86260045,152967088,1,"R","Live Action","Thriller/Suspense",128,"Accountants, Organized Crime, White Collar Crime, Child Prodigy, Mental Illness",0,"Warner Bros., Electric City Entertainment, Zero Gravity Management, RatPac Entertainment, Dune Entertainment","United States","Original Screenplay","Contemporary Fiction",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Oct"
"34","Sep 23, 2016","The Age of Shadows",NA,165685,540268,51948102,0,"Not Rated","Live Action","Action",140,"Japan, Resistance Fighter, Undercover, 1920s, Korea",0,"Warner Bros., Grimm Pictures, Warner Brothers Korea, Harbin Films","Republic of Korea","Original Screenplay","Historical Fiction",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Sep"
"35","Sep 12, 2016","Rurôni Kenshin: Kyôto taika…",NA,NA,NA,NA,0,"Not Rated","Live Action","Action",138,"Live Action Cartoon, 1870s, Japan, Revenge, Assassination",0,"Warner Bros., Amuse Entertainment","Japan","Based on Comic/Graphic Novel","Historical Fiction",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Sep"
"36","Sep 9, 2016","Sully",6e+07,35028301,125070033,238535513,1,"PG-13","Live Action","Drama",96,"In a Plane, Disaster, Autobiographical, 2000s, New York City, Biography",0,"Village Roadshow Productions, Warner Bros., Malpaso Productions, Flashlight Films, The Kennedy/Marshall Company","United States","Based on Factual Book/Article","Dramatization",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,"Sep"
"37","Aug 19, 2016","War Dogs",5e+07,14685305,43034523,86234523,1,"R","Live Action","Comedy",114,"2000s, War Profiteers, Afghanistan War",0,"Warner Bros., Joint Effort, The Mark Gordon Company","United States","Based on Factual Book/Article","Dramatization",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Aug"
"38","Aug 5, 2016","Suicide Squad",1.75e+08,133682248,325100054,746069242,1,"PG-13","Live Action","Action",123,"Ensemble, Villain's Point of View, Mercenaries, D.C. Comics, Prison, Cruel Wardens or Prison Guards, Voiceover/Narration, Non-Chronological, Intertitle, Scene in End Credits, Revenge, Death of a Spouse or Fiancée / Fiancé, Death of a Sibling, Possessed, Mutants",1,"Warner Bros., RatPac Entertainment, Dune Entertainment, Atlas Entertainment","United States","Based on Comic/Graphic Novel","Super Hero",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Aug"
"39","Jul 29, 2016","Ants on a Shrimp",NA,NA,NA,65663,0,"Not Rated","Live Action","Documentary",93,"Restaurants, Chef, Food, Tokyo",0,"Fortissimo Films, BlazHoffski, Dahl TV, Warner Bros.","Netherlands","Based on Real Life Events","Factual",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,"Jul"
